sensor_index,last_seen,name,location_type,latitude,longitude,pm2.5,pm2.5_a,pm2.5_b,geometry,province
266614,1777185876,Pit 8 PRM2(new2025),0,49.235546,-105.29647,7.3,12.1,2.5,POINT (-105.29647 49.235546),SK
272918,1777185803,Shaunavon Public School,0,49.64833,-108.412155,1.8,2.0,1.6,POINT (-108.412155 49.64833),SK
13089,1777185791,East Regina,0,50.44632,-104.40226,0.9,0.0,0.9,POINT (-104.40226 50.44632),SK
278055,1777185855,Aberdeen,0,52.32907,-106.28809,0.0,0.0,0.0,POINT (-106.28809 52.32907),SK
279087,1777185844,Avonlea,0,50.01725,-105.05532,1.3,1.3,1.4,POINT (-105.05532 50.01725),SK
280276,1777185886,"Olive Grove, Regina SK",0,50.425274,-104.53042,1.4,1.2,1.6,POINT (-104.53042 50.425274),SK
280344,1777185841,Holy Trinity Catholic School Division Board Office,0,50.3942,-105.49968,3.7,4.1,3.3,POINT (-105.49968 50.3942),SK
280768,1776975322,Columbus Baseball Park,0,50.43188,-104.641235,1.2,1.5,0.9,POINT (-104.641235 50.43188),SK
284246,1777185850,#4 Exploration,0,54.640182,-102.830734,0.3,0.4,0.2,POINT (-102.830734 54.640182),SK
284296,1777185863,#2_Comms Tower Sea Can,0,54.62586,-102.815796,0.2,0.4,0.0,POINT (-102.815796 54.62586),SK
287588,1777185893,AQSU-Parks Canada Ops,0,49.24228,-107.7334,1.6,2.3,0.8,POINT (-107.7334 49.24228),SK
288558,1777185822,Whitecap Dakota Nation,0,51.876564,-106.71199,0.5,0.4,0.6,POINT (-106.71199 51.876564),SK
291698,1777185839,Muskoday First Nation,0,53.089066,-105.49045,0.0,0.1,0.0,POINT (-105.49045 53.089066),SK
31411,1777185858,SPSA Radio Technical Services,0,53.19702,-105.7409,0.4,0.1,0.6,POINT (-105.7409 53.19702),SK
35205,1777185813,Indian Head,0,50.530582,-103.67302,0.9,0.8,0.9,POINT (-103.67302 50.530582),SK
